synthetic,ts,ticker,event,side,px,contracts,fee,is_taker,F,tau_s,gross_edge_c,settle,to_settle_c,hedge_cost,hedge_pnl,net,net_c_per_ct,mo_0.1s_c,mo_0.5s_c,mo_1s_c,mo_5s_c,mo_10s_c,mo_30s_c,mo_60s_c,coid,order_id,trade_id,queue_ahead_ct,order_age_s,pos_before_ct,F_cycle,F_lo,F_hi,delta_btc,z,fv_age_s,mechanism,quote_position,q_eff_at_place_ct,modeled_value_c,policy,yes_px_c,queue_at_place_ct,quote_age_s,adv_ext_0.1s,adv_ext_0.5s,adv_ext_1s,adv_ext_5s,kalshi_imb_side,spread_ticks,venue_imb_adv,taker_ct_10s,taker_ct_60s,takers_against_10s,log_tau,abs_z,yes_px,sigma_ann,fv_edge_c,mkpx_0.1s_c,mkpx_0.5s_c,mkpx_1s_c,mkpx_5s_c,mkpx_10s_c,mkpx_30s_c,mkpx_60s_c,mkpx_settle_c,fee_c,net_mk_10s_c,net_mk_60s_c,adverse_10s_c,toxic
True,1790251217820000000,KXBTCD-26SEP241215-T83000,KXBTCD-26SEP241215,1,0.98,0.98,0.0096,False,0.996899,882.18,1.6899,1,0.3101,0,0,0.01,1.02041,0,-0.0016,-0.0016,-0.0427,-0.0327,-0.0255,0.0158,synth-3,sim-o8,sim-f1,0,2.82754,0,0.996849,0.993616,0.999986,1.24364e-05,-3.55876,0.327538,queue,touch,3,0.988874,B,98,3,2.82754,-0,1.44201,5.78329,14.5098,1,,-0,1,1,1,6.78239,3.55876,0.98,0.571662,1.68491,1.6899,1.6883,1.6883,1.6472,1.6572,1.6644,1.7057,2,0.979592,0.677608,0.726108,-0.0327,1
True,1790251218420000000,KXBTCD-26SEP241215-T83000,KXBTCD-26SEP241215,1,0.98,1,0,False,0.996883,881.58,1.6883,1,0.3117,0,0,0.02,2,0,0,0.0051,-0.042,-0.0168,-0.0341,0.0301,synth-3,sim-o8,sim-f2,0,3.43505,0.98,0.996883,0.993678,0.999987,1.2283e-05,-3.56837,0.435053,queue,touch,3,0.988874,B,98,3,3.43505,0.488899,-7.41951,-8.41734,-1.28491,1,,-0,2,2,2,6.7817,3.56837,0.98,0.571662,1.68827,1.6883,1.6883,1.6934,1.6463,1.6715,1.6542,1.7184,2,0,1.6715,1.7184,-0.0168,1
True,1790251220620000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.02,4.99,0.0098,False,0.003202,879.38,1.6798,0,0.3202,0,0,0.09,1.80361,-0,0.008,0.008,0.035,0.0186,0.047,0.0846,synth-4,sim-o11,sim-f3,0,5.63332,0,0.00318149,1.48163e-05,0.00644187,1.26024e-05,3.55017,0.133322,queue,touch,8,0.879114,B,2,8,5.63332,-0.137829,0.531555,-9.10911,-24.6314,1,,0,5,5,5,6.7792,3.55017,0.02,0.571662,1.68185,1.6798,1.6878,1.6878,1.7148,1.6984,1.7268,1.7644,2,0.196393,1.50201,1.56801,0.0186,0
True,1790251222620000000,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.51,5,0.03,False,0.460924,877.38,4.9076,1,-53.9076,0,0,-2.48,-49.6,-0,0.4453,0.1222,-2.123,-3.6866,-2.3719,1.5492,synth-24,sim-o24,sim-f4,0,1.12773,0,0.460924,0.454071,0.473997,0.00176023,0.078306,0.127726,queue,touch,1,2.47501,B,51,1,1.12773,1.5476,6.85689,1.96107,-27.0456,-0.428571,5,0,48,48,22,6.77693,0.078306,0.51,0.571662,4.90759,4.9076,5.3529,5.0298,2.7846,1.221,2.5357,6.4568,-49,0.6,0.621,5.8568,-3.6866,1
True,1790251227920000000,KXBTCD-26SEP241215-T83000,KXBTCD-26SEP241215,1,0.98,3.02,0.0004,False,0.996572,872.08,1.6572,1,0.3428,0,0,0.06,1.98675,0.0143,0.0143,0.0143,0.0322,0.0034,0.0312,0.065,synth-3,sim-o8,sim-f5,0,12.9338,1.98,0.996698,0.993329,0.999982,1.32218e-05,-3.51717,0.433761,queue,touch,3,0.988874,B,98,3,12.9338,-0.243267,4.88782,-12.1766,-14.9977,1,,-0,17,18,17,6.77087,3.51717,0.98,0.571662,1.66978,1.6715,1.6715,1.6715,1.6894,1.6606,1.6884,1.7222,2,0.013245,1.64735,1.70895,0.0034,0
True,1790251229820000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.02,2.99,0.0098,False,0.003071,870.18,1.6929,0,0.3071,0,0,0.05,1.67224,-0,0.0055,0.0055,-0.0071,0.0434,0.0328,0.0624,synth-23,sim-o23,sim-f6,0,8.83638,-4.99,0.00312019,1.3526e-05,0.00632472,1.23814e-05,3.56777,0.336383,queue,touch,44,0.962269,B,2,44,8.83638,0.938169,-3.99805,0.825313,20.7262,1,,0,8,8,8,6.76868,3.56777,0.02,0.571662,1.68798,1.6929,1.6984,1.6984,1.6858,1.7363,1.7257,1.7553,2,0.327759,1.40854,1.42754,0.0434,0
True,1790251238420000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.02,2,0,False,0.002753,861.58,1.7247,0,0.2753,0,0,0.04,2,-0,-0,0.0116,0.0326,0.0113,0.0179,0.0455,synth-23,sim-o23,sim-f7,0,17.433,-7.98,0.00275316,7.43665e-06,0.00562303,1.07389e-05,3.6814,0.43298,queue,touch,44,0.962269,B,2,44,17.433,-1.6677,-4.24371,-5.46598,-29.4609,1,,0,5,10,5,6.75875,3.6814,0.02,0.571662,1.72468,1.7247,1.7247,1.7363,1.7573,1.736,1.7426,1.7702,2,0,1.736,1.7702,0.0113,0
True,1790251247020000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.02,5,0.01,False,0.002732,852.98,1.7268,0,0.2732,0,0,0.09,1.8,-0,-0,0.0092,-0.0267,-0.0069,0.0369,0.0143,synth-43,sim-o43,sim-f8,0,8.5306,-9.98,0.00273205,7.15321e-06,0.005582,1.06983e-05,3.68867,0.0305969,queue,touch,5,1.03871,B,2,5,8.5306,-2.12632,-6.41702,-8.46324,11.1673,1,,0,16,24,16,6.74872,3.68867,0.02,0.571662,1.7268,1.7268,1.7268,1.736,1.7001,1.7199,1.7637,1.7411,2,0.2,1.5199,1.5411,-0.0069,1
True,1790251251620000000,KXBTCD-26SEP241215-T83000,KXBTCD-26SEP241215,1,0.98,5,0.01,False,0.996791,848.38,1.6791,1,0.3209,0,0,0.09,1.8,0,0.0224,0.0224,0.013,0.0299,0.0348,0.1016,synth-32,sim-o32,sim-f9,0,23.6417,5,0.996863,0.993645,0.999986,1.26225e-05,-3.56355,0.141659,queue,touch,47,0.93275,B,98,47,23.6417,-4.18973,-3.41381,-14.3805,-25.7895,1,,-0,8,26,8,6.7433,3.56355,0.98,0.571662,1.68635,1.6791,1.7015,1.7015,1.6921,1.709,1.7139,1.7807,2,0.2,1.509,1.5807,0.0299,0
True,1790251253520000000,KXBTCD-26SEP241215-T83500,KXBTCD-26SEP241215,-1,0.99,5,0.01,False,0.964898,846.48,2.5102,1,-3.5102,0,0,-0.06,-1.2,-0,0.0123,0.0123,0.1568,0.0179,-0.0099,-0.8123,synth-61,sim-o61,sim-f10,0,1.0285,0,0.96485,0.929472,0.981177,0.000201048,-1.76707,0.0285,queue,touch,66,0.177801,B,99,66,1.0285,-0.574587,1.49831,0.0552112,30.7269,-0.553191,3,0,17,58,14,6.74108,1.76707,0.99,0.571662,2.51498,2.5102,2.5225,2.5225,2.667,2.5281,2.5003,1.6979,-1,0.2,2.3281,1.4979,0.0179,0
